Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.6797459,0.61814344,0.28945148,0.6670886,0.70780593,0.6791691,0.7048795,0.6537267,0.7109604,0.70667225,0.6989018
MINAS-BR,2,0.59628856,0.49563217,0.35747126,0.6091954,0.6081609,0.6341738,0.6140248,0.64305097,0.6538695,0.6255384,0.5787573
MINAS-BR,3,0.45314267,0.3301578,0.576362,0.47078657,0.46174458,0.5726459,0.51400036,0.63939106,0.65076596,0.5185185,0.42473724
MINAS-BR,4,0.3846764,0.27614063,0.5207646,0.39732334,0.39503926,0.53136986,0.5021021,0.6298735,0.44151798,0.45950893,0.5819569
MINAS-BR,5,0.39842692,0.30334237,0.45609757,0.40614966,0.41187894,0.5170951,0.6072858,0.63305736,0.65409714,0.4370391,0.5667273
MINAS-BR,6,0.39775902,0.3090489,0.41532537,0.40227836,0.41397765,0.51023465,0.60191154,0.63654464,0.65659994,0.42575228,0.55563277
MINAS-BR,7,0.39137405,0.3134835,0.39203396,0.3944774,0.40682337,0.505704,0.59492105,0.64086723,0.6675248,0.4176242,0.53656167
MINAS-BR,8,0.37839323,0.3085532,0.37262976,0.38112044,0.3923456,0.49990562,0.579621,0.64094937,0.65528387,0.40974036,0.5196224
MINAS-BR,9,0.37267745,0.30754283,0.35545897,0.37685615,0.38409615,0.49356714,0.56445557,0.637675,0.6448539,0.40258676,0.5018825
MINAS-BR,10,0.36547545,0.29765335,0.34614152,0.37420163,0.3732676,0.48579535,0.5480509,0.63017005,0.630674,0.39524335,0.4845687
MINAS-BR,11,0.3499328,0.28120795,0.33525404,0.36122233,0.35549155,0.47599825,0.53268105,0.6181779,0.612377,0.3869911,0.47133994
MINAS-BR,12,0.3424369,0.27785096,0.3156957,0.3534793,0.347233,0.46638492,0.52276814,0.60450286,0.6017167,0.37964332,0.46213362
MINAS-BR,13,0.34279662,0.28316262,0.29577914,0.35317084,0.3470485,0.45803756,0.51613086,0.59110844,0.59790593,0.3738713,0.4540331
MINAS-BR,14,0.34308487,0.28713682,0.27793247,0.35308793,0.34680688,0.45074204,0.5104972,0.57842845,0.595009,0.3692346,0.44700685
MINAS-BR,15,0.3404824,0.2874866,0.26245978,0.35017374,0.34379438,0.4439717,0.5049548,0.5661759,0.5908376,0.36515594,0.44087088
MINAS-BR,16,0.33242473,0.28207958,0.24931745,0.341662,0.3355407,0.4370754,0.49901024,0.5537649,0.58399075,0.36100444,0.43562016
MINAS-BR,17,0.32966506,0.28198335,0.23729,0.3385172,0.33251378,0.43062392,0.49440393,0.5419562,0.5807583,0.3572378,0.43040588
MINAS-BR,18,0.33162645,0.28086436,0.22840391,0.34311593,0.33274853,0.42501134,0.49084508,0.5315847,0.5816197,0.35403386,0.42457998
MINAS-BR,19,0.33051366,0.27089357,0.21888746,0.35066277,0.32820746,0.41968688,0.36564776,0.52310896,0.43821448,0.35040876,0.3137002
MINAS-BR,20,0.3267959,0.2595799,0.21160497,0.35507536,0.32146302,0.41439882,0.36314195,0.5159044,0.4390747,0.34626937,0.30960026
MINAS-BR,21,0.3197296,0.24884875,0.2037552,0.35123628,0.3128303,0.40892664,0.3604609,0.50883144,0.4369289,0.3418143,0.30677196
MINAS-BR,22,0.31604922,0.24616693,0.19479,0.3469946,0.30915543,0.403743,0.42899987,0.5018832,0.68198705,0.33770657,0.31292024
MINAS-BR,23,0.31950518,0.25138536,0.18561663,0.34868184,0.31361553,0.39946133,0.44781587,0.4957025,0.68292475,0.3345149,0.33312994
MINAS-BR,24,0.32263663,0.25644994,0.17769697,0.35027698,0.3175267,0.39591601,0.46057495,0.4902025,0.6822814,0.33204907,0.34761724
MINAS-BR,25,0.32500982,0.2606703,0.1712279,0.35148987,0.32037997,0.3929328,0.4685791,0.48526797,0.681564,0.3301189,0.35701424
MINAS-BR,26,0.33065525,0.26838163,0.16464363,0.35593095,0.32648125,0.39072096,0.4830306,0.4812946,0.6792073,0.32883778,0.37478167
MINAS-BR,27,0.33517745,0.27500945,0.15886645,0.3594484,0.3312749,0.38911888,0.49249995,0.47817364,0.67457986,0.32802725,0.38782087
MINAS-BR,28,0.33775732,0.2794362,0.15349711,0.36120307,0.33403754,0.38783267,0.49658853,0.47542468,0.6673939,0.32749513,0.39539534
MINAS-BR,29,0.3375998,0.27979,0.14826767,0.360762,0.3338637,0.38660324,0.49713182,0.47275266,0.6649678,0.32701206,0.39694428
MINAS-BR,30,0.33349726,0.27458534,0.14342734,0.35710725,0.32943305,0.38514102,0.4893064,0.4698543,0.65504825,0.3263086,0.3905009
MINAS-BR,31,0.3270128,0.26709393,0.13894781,0.35130993,0.32236668,0.3833404,0.47509745,0.46663618,0.6369933,0.3252775,0.3788184
MINAS-BR,32,0.3191092,0.25953776,0.13484983,0.34335783,0.31429,0.3811579,0.458169,0.46299314,0.6136293,0.32390657,0.3655568
MINAS-BR,33,0.3120398,0.25361702,0.13126403,0.3357554,0.3073468,0.37871423,0.44473758,0.45903045,0.59514403,0.32231843,0.3550168
MINAS-BR,34,0.30777273,0.2505715,0.12795965,0.33085692,0.30329508,0.376222,0.4377094,0.45502302,0.5863215,0.32068563,0.34919947
MINAS-BR,35,0.30643848,0.2499364,0.12514895,0.32850993,0.3026569,0.37383774,0.43260416,0.45111865,0.5760392,0.31916222,0.3463598
MINAS-BR,36,0.30400795,0.24867739,0.12227697,0.32544634,0.30043486,0.3714681,0.4243638,0.44723088,0.5610492,0.31765586,0.34123144
MINAS-BR,37,0.30249536,0.24832723,0.11935634,0.3235099,0.29893315,0.36916536,0.41742536,0.44342566,0.54744995,0.31620982,0.33731082
MINAS-BR,38,0.30058414,0.24760298,0.11695201,0.3211432,0.29708833,0.36691922,0.41205713,0.43970782,0.5371945,0.31480655,0.3342053
MINAS-BR,39,0.2989552,0.24705033,0.11488081,0.3191057,0.29551572,0.36474353,0.40766364,0.4361008,0.5296129,0.3134544,0.33136353
MINAS-BR,40,0.29781953,0.24656649,0.113103144,0.31777343,0.29431883,0.36264482,0.40369213,0.43260837,0.5229814,0.31216064,0.32871416
MINAS-BR,41,0.29755884,0.24437685,0.11125087,0.31869757,0.29333913,0.36065236,0.4006392,0.42932406,0.51863587,0.3109198,0.32638273
MINAS-BR,42,0.29901695,0.2402012,0.10967304,0.32410493,0.29310155,0.35886246,0.40133464,0.42648533,0.5215914,0.3097491,0.32614052
MINAS-BR,43,0.30141056,0.23512322,0.10725166,0.332682,0.29320416,0.35734594,0.40542936,0.42423442,0.5305902,0.3086772,0.32804653
MINAS-BR,44,0.30454996,0.23188667,0.10484749,0.3399685,0.2947475,0.356119,0.40995708,0.42246896,0.5380213,0.3077811,0.3311371
MINAS-BR,45,0.30799177,0.23269537,0.10251535,0.3438803,0.29826197,0.35513684,0.4138382,0.4209809,0.5420518,0.3071039,0.334676
MINAS-BR,46,0.31123963,0.23594572,0.10053612,0.34633705,0.30216193,0.3543567,0.41719416,0.4196968,0.54489434,0.30662078,0.33798483
MINAS-BR,47,0.31516153,0.2405706,0.09877897,0.3490795,0.3069085,0.353817,0.42279348,0.41870287,0.55043465,0.30634332,0.3432067
MINAS-BR,48,0.31895572,0.24551348,0.09679287,0.35193473,0.31119138,0.3534821,0.42785823,0.41796064,0.555541,0.3062388,0.3478989
MINAS-BR,49,0.32218486,0.2500496,0.09492553,0.3544046,0.31470695,0.35329866,0.43254477,0.41739663,0.5599184,0.3062665,0.35238266
MINAS-BR,50,0.32382807,0.25288615,0.09331157,0.35543263,0.3165446,0.3531934,0.43622273,0.41693255,0.56323206,0.3063584,0.35595465
UnkRM,1,0.02283531,0.02283531,0.02283531,0.02283531,0.02283531,0.02283531,0.02283531,0.02283531,0.02283531,0.02283531,0.02283531
UnkRM,2,0.015041946,0.015041946,0.015041946,0.015041946,0.015041946,0.015041946,0.015041946,0.015041946,0.015041946,0.015041946,0.015041946
UnkRM,3,0.018325945,0.018325945,0.018325945,0.018325945,0.018325945,0.018325945,0.018325945,0.018325945,0.018325945,0.018325945,0.018325945
UnkRM,4,0.04719539,0.04719539,0.04719539,0.04719539,0.04719539,0.04719539,0.04719539,0.04719539,0.04719539,0.04719539,0.04719539
