timestamp,evaluationWindow,nExamples,radius,silhouette,threshold,averOut,label
4973,1,17.0,0.7929837953287424,1.0,0.0,0.7205642820316324,NP1
4973,1,33.0,0.7433832759508985,1.0,0.0,0.7278083809934817,NP2
4973,1,25.0,0.7891461055089838,1.0,0.0,0.7064029021452564,NP3
4973,1,13.0,0.9246505908527222,1.0,0.0,0.6793296068412104,NP4
4973,1,18.0,0.9767762979953527,1.0,0.0,0.6551958654152724,NP5
4973,1,4.0,0.7403763333602766,1.0,0.0,0.718370890210106,NP6
4973,1,6.0,0.8660153579341281,1.0,0.0,0.6827111467261054,NP7
4973,1,19.0,1.0971307728109503,1.0,0.0,0.6153885003831029,NP8
4973,1,7.0,0.8982559003322141,1.0,0.0,0.6663002384251476,NP9
9168,3,29.0,0.7355629373858217,1.0,0.0,0.7170857595790266,NP10
9168,3,18.0,0.687715790755731,1.0,0.0,0.7462216714421372,NP11
9168,3,24.0,1.0374315555920774,1.0,0.0,0.6447021537223062,NP12
9168,3,16.0,0.6644617315318929,1.0,0.0,0.7526091160629363,NP13
9168,3,13.0,0.8331558510803,1.0,0.0,0.7007508024101946,NP14
9168,3,4.0,0.9040446891470577,1.0,0.0,0.6554083144219184,NP15
9168,3,4.0,0.6655987661496968,1.0,0.0,0.756404404928279,NP16
9168,3,16.0,0.7120054711868399,1.0,0.0,0.7474485789112499,NP17
9168,3,9.0,0.5642461078797012,1.0,0.0,0.7856090459040248,NP18
9168,3,14.0,0.7555687142634372,1.0,0.0,0.725959687569617,NP19
10760,4,13.0,0.700058504402163,1.0,0.0,0.7327507487851996,NP20
10760,4,13.0,0.7013119418607326,1.0,0.0,0.7156335057705758,NP21
10760,4,30.0,0.794875196978469,1.0,0.0,0.699854264020085,NP22
10760,4,16.0,0.8747919558517085,1.0,0.0,0.6702284026523404,NP23
10760,4,18.0,0.8493300697572603,1.0,0.0,0.6854684361054058,NP24
10760,4,6.0,1.0729966097078083,1.0,0.0,0.6740316915850874,NP25
10760,4,4.0,0.7610258208497299,1.0,0.0,0.7177277908249408,NP26
10760,4,14.0,1.0269082132144738,1.0,0.0,0.634869242728173,NP27
10760,4,4.0,0.6460846535671539,1.0,0.0,0.7574260446324914,NP28
10760,4,8.0,0.7034228067101614,1.0,0.0,0.7559270513290443,NP29
10760,4,6.0,1.003554664336288,1.0,0.0,0.6603305875199156,NP30
10760,4,6.0,0.8487066167030745,1.0,0.0,0.7027467784147131,NP31
15792,6,20.0,0.9349862112544793,1.0,0.0,0.6673612193602005,NP32
15792,6,19.0,0.8874348313789646,1.0,0.0,0.669411325799192,NP33
15792,6,6.0,0.9140259983367818,1.0,0.0,0.6431530559271831,NP34
15792,6,4.0,0.49926056981801314,1.0,0.0,0.8275691339765221,NP35
15792,6,14.0,0.9858046038332187,1.0,0.0,0.6346813437873166,NP36
15792,6,4.0,0.695483957399449,1.0,0.0,0.7077607824634156,NP37
15792,6,17.0,0.9048523805506858,1.0,0.0,0.6719771355558104,NP38
15792,6,6.0,0.9101652896284493,1.0,0.0,0.6574449940551245,NP39
15792,6,21.0,0.9010079816126519,1.0,0.0,0.6606527861093108,NP40
15792,6,5.0,0.8516880298002089,1.0,0.0,0.680310242172513,NP41
15792,6,19.0,0.8882999542423368,1.0,0.0,0.702237076554422,NP42
15792,6,5.0,0.7045286424269824,1.0,0.0,0.726094856038608,NP43
21596,8,41.0,0.8788276767016091,1.0,0.0,0.6768413159639609,NP44
21596,8,20.0,0.8045859952831009,1.0,0.0,0.7029548173128559,NP45
21596,8,4.0,0.40856180190395186,1.0,0.0,0.8323098334115486,NP46
21596,8,8.0,0.7379887203121283,1.0,0.0,0.7185951743661448,NP47
21596,8,9.0,0.8851529733900511,1.0,0.0,0.6831434872739708,NP48
21596,8,10.0,0.8756021914627687,1.0,0.0,0.6906403744313758,NP49
21596,8,12.0,0.9669950856935918,1.0,0.0,0.6453442255483851,NP50
21596,8,8.0,0.7606540787375006,1.0,0.0,0.7224001110944234,NP51
21596,8,7.0,0.8658942804115692,1.0,0.0,0.6675940063308691,NP52
21596,8,9.0,1.162971140900707,1.0,0.0,0.5922381287460037,NP53
21596,8,10.0,0.8486757513459195,1.0,0.0,0.6959128505407235,NP54
30386,11,5.0,0.657790715383042,1.0,0.0,0.7565149686273426,NP55
30386,11,7.0,0.6499893102794588,1.0,0.0,0.7448229587028263,NP56
30386,11,21.0,0.7726342853891062,1.0,0.0,0.7089092202807082,NP57
30386,11,14.0,0.7019539825256909,1.0,0.0,0.7271391613140199,NP58
30386,11,17.0,0.7462607836985067,1.0,0.0,0.7115624895676673,NP59
30386,11,7.0,0.6402406473164822,1.0,0.0,0.7408237042953634,NP60
30386,11,4.0,0.9483989110996439,1.0,0.0,0.633988185727137,NP61
30386,11,29.0,0.8233639105019183,1.0,0.0,0.6824664210604282,NP62
30386,11,13.0,0.9765082162113297,1.0,0.0,0.6457692267307082,NP63
30386,11,6.0,1.348017283189566,1.0,0.0,0.568332091583175,NP64
30386,11,12.0,1.1046716107802832,1.0,0.0,0.5976952358798493,NP65
30386,11,6.0,0.629046178308435,1.0,0.0,0.7715187252218354,NP66
43187,16,27.0,1.0907681816891355,1.0,0.0,0.6287767147495339,NP67
43187,16,7.0,1.2133743996182595,1.0,0.0,0.569079144626427,NP68
43187,16,36.0,0.950995317345471,1.0,0.0,0.6547431952838116,NP69
43187,16,7.0,0.8803695639297587,1.0,0.0,0.6680111840624098,NP70
43187,16,23.0,0.9497260294216668,1.0,0.0,0.6603898481011341,NP71
43187,16,6.0,0.6946915146224647,1.0,0.0,0.7377809221517547,NP72
43187,16,14.0,1.235614188927749,1.0,0.0,0.5760972319341058,NP73
43187,16,4.0,0.4628627874435272,1.0,0.0,0.8147416212476113,NP74
43187,16,8.0,0.8568636186826113,1.0,0.0,0.7048705335856638,NP75
43187,16,4.0,0.8587067660150305,1.0,0.0,0.6679405432355383,NP76
43187,16,5.0,1.0108219385340833,1.0,0.0,0.6658656461851477,NP77
56599,21,28.0,0.8416040895316107,1.0,0.0,0.6807032464063075,NP78
56599,21,12.0,1.0902254877623583,1.0,0.0,0.6185189112238295,NP79
56599,21,19.0,0.8764328605078137,1.0,0.0,0.6689655364660586,NP80
56599,21,9.0,0.8675403621652864,1.0,0.0,0.6648642182890744,NP81
56599,21,5.0,0.9234341831229805,1.0,0.0,0.6988160141808369,NP82
56599,21,4.0,0.8559275416762875,1.0,0.0,0.669013125699055,NP83
56599,21,10.0,0.5732599300701229,1.0,0.0,0.7706330875240559,NP84
56599,21,6.0,1.0337729645440656,1.0,0.0,0.634293370458942,NP85
56599,21,13.0,0.9055515396164795,1.0,0.0,0.6582257237722481,NP86
56599,21,7.0,1.0376175820805928,1.0,0.0,0.6631810704297646,NP87
56599,21,9.0,1.073920658888981,1.0,0.0,0.5991096126180606,NP88
56599,21,14.0,1.1323238829585693,1.0,0.0,0.6373220771768434,NP89
56599,21,4.0,1.2319652247527129,1.0,0.0,0.556035098527569,NP90
56599,21,4.0,1.1995010223367957,1.0,0.0,0.6354875602209232,NP91
56599,21,6.0,0.9594417819741753,1.0,0.0,0.6319812836727219,NP92
66194,25,14.0,0.8585060856998505,1.0,0.0,0.6949889101750856,NP93
66194,25,18.0,0.8971175885324859,1.0,0.0,0.6757648099473222,NP94
66194,25,9.0,1.305908761299765,1.0,0.0,0.6030508423485541,NP95
66194,25,4.0,0.7636021480142663,1.0,0.0,0.6923125339555806,NP96
66194,25,9.0,1.2088742147802283,1.0,0.0,0.5746060253488422,NP97
66194,25,6.0,1.062812155374181,1.0,0.0,0.6087818228719689,NP98
66194,25,25.0,1.190841897173586,1.0,0.0,0.6240538223108397,NP99
66194,25,6.0,1.0280547726059046,1.0,0.0,0.6206820616923258,NP100
66194,25,5.0,0.7089052856341174,1.0,0.0,0.7352531782528382,NP101
66194,25,7.0,1.0347073592004903,1.0,0.0,0.6860008089749865,NP102
66194,25,4.0,1.0301682047122198,1.0,0.0,0.6558413236618119,NP103
66194,25,19.0,0.9169668125556825,1.0,0.0,0.6735837741270917,NP104
66194,25,9.0,0.9134691604868287,1.0,0.0,0.6802520078672845,NP105
66194,25,6.0,0.7108522110897031,1.0,0.0,0.7283150212296624,NP106
88788,33,34.0,1.1160094022335485,1.0,0.0,0.6207785685956433,NP107
88788,33,7.0,1.270776901346542,1.0,0.0,0.6017579840169757,NP108
88788,33,12.0,0.8981719420126593,1.0,0.0,0.7036088233476204,NP109
88788,33,17.0,1.0233998021039492,1.0,0.0,0.6151111848317009,NP110
88788,33,18.0,0.9590930189623026,1.0,0.0,0.6535117267449796,NP111
88788,33,6.0,1.1820630463022443,1.0,0.0,0.607194345867512,NP112
88788,33,11.0,1.3204242655296603,1.0,0.0,0.5700614145944671,NP113
88788,33,12.0,0.9786973808678809,1.0,0.0,0.6327662797967007,NP114
88788,33,5.0,0.5999831864310776,1.0,0.0,0.7486094921728957,NP115
88788,33,8.0,1.0026983868541968,1.0,0.0,0.6698290144546342,NP116
88788,33,15.0,1.2222186594215503,1.0,0.0,0.5791484857351349,NP117
120357,45,6.0,1.091686819152412,1.0,0.0,0.5881463659701677,NP118
120357,45,15.0,1.0509228376114121,1.0,0.0,0.6392427196887767,NP119
120357,45,19.0,1.0330139610708633,1.0,0.0,0.6421020376405306,NP120
120357,45,8.0,0.74907364249117,1.0,0.0,0.742467413845461,NP121
120357,45,4.0,1.3477324268099333,1.0,0.0,0.600534212392695,NP122
120357,45,13.0,1.0041001901705704,1.0,0.0,0.6420653860706036,NP123
120357,45,13.0,1.3868506040004946,1.0,0.0,0.561383096305071,NP124
120357,45,15.0,1.082260522290486,1.0,0.0,0.6223199974951096,NP125
120357,45,7.0,1.1688913184234502,1.0,0.0,0.5972150774219468,NP126
120357,45,7.0,0.9967127619308858,1.0,0.0,0.6515298340076336,NP127
120357,45,9.0,1.5661097552601417,1.0,0.0,0.5182046373841753,NP128
120357,45,8.0,1.0998394590120972,1.0,0.0,0.5942939281580601,NP129
120357,45,4.0,0.9069774825071455,1.0,0.0,0.6888120065415961,NP130
120357,45,21.0,1.0937935982579199,1.0,0.0,0.62398515616523,NP131
