Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
13093,NP1,,,
13093,NP2,,,
13093,NP3,,,
13093,NP4,,,
13093,NP5,,,
13093,NP6,,,
13093,NP7,,,
13093,NP8,0,28798,10
13093,NP9,,,
13093,NP10,,,
13093,NP11,,,
13093,NP12,0,15708,5
13093,NP13,0,15708,5
13093,NP14,0,15708,5
13093,NP15,0,15708,5
13093,NP16,0,15708,5
13093,NP17,0,28798,10
13093,NP18,0,15708,5
13093,NP19,0,15708,5
13093,NP20,0,15708,5
13093,NP21,,,
13093,NP22,0,15708,5
61914,NP23,1,81158,30
61914,NP24,1,62832,23
61914,NP25,1,73304,27
61914,NP26,0,62832,23
61914,NP27,1,62832,23
61914,NP28,1,78540,29
61914,NP29,1,83776,31
61914,NP30,1,70686,26
61914,NP31,1,62832,23
61914,NP32,0,62832,23
61914,NP33,1,70686,26
61914,NP34,1,62832,23
61914,NP35,0,62832,23
61914,NP36,0,62832,23
61914,NP37,0,62832,23
61914,NP38,1,62832,23
61914,NP39,1,62832,23
61914,NP40,1,78540,29
61914,NP41,1,62832,23
61914,NP42,1,83776,31
61914,NP43,1,68068,25
61914,NP44,0,62832,23
61914,NP45,0,62832,23
61914,NP46,1,62832,23
