Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk
42,0.36349863,0.014228799,0.0028457597,0.2805919,0.5293113,0.3785247,0.37947768,0.29305944,0.28400558,0.5343611,0.5716426,0.21493138,0
43,0.36500055,0.013888889,0.0027777778,0.28166667,0.5316667,0.37797165,0.38319382,0.29261807,0.2874886,0.5336241,0.57441807,0.21566837,0
44,0.36672178,0.013572204,0.002714441,0.28284472,0.5344734,0.37752846,0.38663217,0.29226044,0.29075512,0.5330466,0.5768494,0.21674241,1
45,0.36684453,0.0132626,0.0026525198,0.28302386,0.5344828,0.37712288,0.38837668,0.29193294,0.29253444,0.53251916,0.5776211,0.21766895,0
46,0.36627027,0.012966805,0.002593361,0.282417,0.53397304,0.3767064,0.38928828,0.2915978,0.2936744,0.5319732,0.57721746,0.21865301,0
47,0.3660593,0.012683917,0.0025367835,0.2820903,0.5339929,0.3763066,0.38969633,0.29126808,0.29438794,0.5314761,0.5762616,0.21917807,0
48,0.3647815,0.012413108,0.0024826217,0.28103277,0.53227407,0.37587345,0.38878125,0.290912,0.2939375,0.5309337,0.5739878,0.21957582,0
49,0.36470672,0.012159533,0.0024319065,0.28088522,0.53234434,0.37546414,0.38911152,0.29057032,0.294338,0.53043854,0.57390136,0.22013919,1
50,0.3635878,0.011910434,0.0023820868,0.2798952,0.5309671,0.37503406,0.38826802,0.2902099,0.29377797,0.52992296,0.5723608,0.22055893,0
51,0.36344752,0.011671335,0.0023342671,0.2796452,0.53104573,0.3746232,0.38862318,0.28986204,0.2942163,0.52944213,0.57224154,0.22106242,0
