Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,37,0.33870545,0.08413616,0.28452152,0.25904542,0.6000856,0.3610426,0.2322563,0.24176826,0.14205381,0.7125956,0.63629764
MINAS-BR,38,0.3440407,0.08375,0.276875,0.26255238,0.61083335,0.35888728,0.23508248,0.24040377,0.14411198,0.7076581,0.6375095
MINAS-BR,39,0.34839576,0.082825825,0.26979294,0.2652764,0.62017864,0.35712296,0.23756374,0.239293,0.14596882,0.703564,0.637749
MINAS-BR,40,0.35361442,0.08259061,0.26322043,0.26916254,0.62883735,0.35576087,0.24077214,0.23845656,0.148409,0.70022225,0.637563
MINAS-BR,41,0.3574163,0.0811124,0.25666282,0.27129233,0.6380842,0.35469502,0.24281766,0.23780748,0.14992929,0.69756174,0.63823444
MINAS-BR,42,0.35967672,0.07914076,0.25042397,0.27190536,0.6468814,0.35384652,0.24471788,0.23728532,0.15128626,0.6954915,0.63992196
MINAS-BR,43,0.36114913,0.07781457,0.24503312,0.27225938,0.6533296,0.35315382,0.24597836,0.23685461,0.1522792,0.69383967,0.6394223
MINAS-BR,44,0.36329007,0.076549865,0.2393531,0.2730462,0.66082656,0.352627,0.2475602,0.2365224,0.15344393,0.6926233,0.64028496
MINAS-BR,45,0.36549208,0.07481559,0.23393045,0.27384126,0.6685107,0.3522588,0.24921438,0.236285,0.15465383,0.6918182,0.6413688
MINAS-BR,46,0.36469412,0.07315817,0.23390006,0.27262616,0.66967195,0.3519065,0.24898629,0.2360481,0.1544393,0.69113135,0.64204013
MINAS-BR,47,0.35678995,0.07157258,0.24949597,0.2667174,0.65515786,0.35123128,0.24385084,0.23558143,0.15050721,0.6899229,0.64204013
MINAS-BR,48,0.3499282,0.07012346,0.2602469,0.26160526,0.6423868,0.3503228,0.23968531,0.23495527,0.14736928,0.68828285,0.6416017
MINAS-BR,49,0.3428133,0.06866538,0.27272728,0.2562866,0.6292714,0.34918436,0.23524442,0.23416823,0.14402544,0.6862478,0.64161056
MINAS-BR,50,0.33617914,0.067298576,0.28483412,0.25134313,0.6169826,0.34784093,0.23086219,0.23323566,0.14075346,0.68387973,0.6416195
MINAS-BR,51,0.32980388,0.06598513,0.29832715,0.24659261,0.60517347,0.34631056,0.22650896,0.23216875,0.13753004,0.6812213,0.6416283
UnkRM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnkRM,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnkRM,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnkRM,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnkRM,5,0.0026490067,0.0026490067,0.0026490067,0.0026490067,0.0026490067,0.0026490067,0.0026490067,0.0026490067,0.0026490067,0.0026490067,0.0026490067
UnkRM,6,0.0062176166,0.0062176166,0.0062176166,0.0062176166,0.0062176166,0.0062176166,0.0062176166,0.0062176166,0.0062176166,0.0062176166,0.0062176166
UnkRM,7,0.008583691,0.008583691,0.008583691,0.008583691,0.008583691,0.008583691,0.008583691,0.008583691,0.008583691,0.008583691,0.008583691
UnkRM,8,0.011389882,0.011389882,0.011389882,0.011389882,0.011389882,0.011389882,0.011389882,0.011389882,0.011389882,0.011389882,0.011389882
UnkRM,9,0.013440117,0.013440117,0.013440117,0.013440117,0.013440117,0.013440117,0.013440117,0.013440117,0.013440117,0.013440117,0.013440117
UnkRM,10,0.015002454,0.015002454,0.015002454,0.015002454,0.015002454,0.015002454,0.015002454,0.015002454,0.015002454,0.015002454,0.015002454
UnkRM,11,0.016089678,0.016089678,0.016089678,0.016089678,0.016089678,0.016089678,0.016089678,0.016089678,0.016089678,0.016089678,0.016089678
