Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
3168,NP1,5,46800,25
3431,NP2,,,
3745,NP3,,,
4875,NP4,,,
5062,NP5,5,39600,21
5413,NP6,,,
5945,NP7,,,
6447,NP8,5,70200,38
7313,NP9,,,
7913,NP10,5,30600,16
7942,NP11,,,
8613,NP12,,,
8674,NP13,,,
9588,NP14,5,30600,16
10497,NP15,,,
10618,NP16,5,30600,16
10905,NP17,,,
12574,NP18,5,54000,29
14007,NP19,,,
14075,NP20,,,
14276,NP21,,,
14707,NP22,,,
15703,NP23,,,
16527,NP24,5,32400,17
16887,NP25,,,
16935,NP26,5,30600,16
17607,NP27,,,
18941,NP28,,,
19804,NP29,5,30600,16
19861,NP30,,,
19871,NP31,,,
20829,NP32,,,
21100,NP33,,,
21278,NP34,5,32400,17
21591,NP35,,,
21735,NP36,,,
21932,NP37,,,
22457,NP38,,,
22909,NP39,,,
23008,NP40,,,
23209,NP41,5,50400,27
23272,NP42,,,
23350,NP43,,,
23355,NP44,,,
24139,NP45,,,
25826,NP46,5,30600,16
26742,NP47,5,46800,25
26937,NP48,5,30600,16
27315,NP49,,,
30087,NP50,5,30600,16
30176,NP51,5,30600,16
30234,NP52,5,30600,16
30527,NP53,5,30600,16
30620,NP54,5,32400,17
31378,NP55,,,
31883,NP56,6,70200,38
31883,NP57,5,32400,17
32921,NP58,6,70200,38
35558,NP59,5,36000,19
35689,NP60,,,
35966,NP61,,,
35966,NP62,,,
38514,NP63,5,48600,26
38923,NP64,,,
39636,NP65,5,41400,22
40351,NP66,,,
41154,NP67,,,
41985,NP68,5,43200,23
42509,NP69,,,
43813,NP70,5,45000,24
44114,NP71,,,
45849,NP72,6,73800,40
47216,NP73,,,
50926,NP74,,,
51738,NP75,5,63000,34
51927,NP76,6,70200,38
52853,NP77,,,
54792,NP78,,,
56762,NP79,6,72000,39
59828,NP80,6,70200,38
62359,NP81,6,72000,39
65744,NP82,5,66600,36
66206,NP83,5,66600,36
66803,NP84,6,72000,39
70162,NP85,6,70200,38
70725,NP86,6,72000,39
71961,NP87,6,72000,39
74795,NP88,5,77400,42
75561,NP89,6,75600,41
83194,NP90,,,
86440,NP91,,,
88167,NP92,6,90000,49
88987,NP93,5,90000,49
