Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
EaBR,31,0.96065336,0.9705791,0.9281041,0.020271935,0.9737972,0.9766378,0.9819939,0.97972804,0.96905166,0.96428967,0.9682193,0.9637667,0.96988547,0.9648133
EaBR,32,0.9600366,0.9702045,0.9268057,0.02055755,0.9736152,0.9763552,0.98183924,0.9794425,0.9688243,0.9638928,0.9680186,0.96341467,0.9696314,0.96437144
EaBR,33,0.9601711,0.9702778,0.92719483,0.020461254,0.9737145,0.9763714,0.98170394,0.97953874,0.96862125,0.9641229,0.96784145,0.96368337,0.9694023,0.9645627
EaBR,34,0.9605898,0.97055775,0.9281004,0.020218957,0.9739427,0.9765889,0.981594,0.97978103,0.9684524,0.96456844,0.96769506,0.96411943,0.96921086,0.9650179
EaBR,35,0.9608428,0.97070134,0.9287468,0.020058714,0.9740706,0.976663,0.98150223,0.9799413,0.96830636,0.9647916,0.96757084,0.9643733,0.96904296,0.96521026
EaBR,36,0.9607315,0.9706331,0.92856157,0.020085094,0.97406936,0.9766004,0.98141646,0.97991484,0.96816504,0.9647632,0.967451,0.9643773,0.9688802,0.9651495
EaBR,37,0.9605385,0.9704655,0.928345,0.020148762,0.9739443,0.97644305,0.98133403,0.97985125,0.9680242,0.9645681,0.9673305,0.96420234,0.96871895,0.964934
EaBR,38,0.96089846,0.9706549,0.92927575,0.019920088,0.974057,0.97655535,0.9812697,0.98007995,0.9679087,0.9649597,0.9672349,0.96462303,0.9685834,0.9652965
EaBR,39,0.9612987,0.97089976,0.93019795,0.019668864,0.9742325,0.97673047,0.9812228,0.9803312,0.96781784,0.96535975,0.9671636,0.96504915,0.968473,0.9656706
EaBR,40,0.9615166,0.9710453,0.9306825,0.019530466,0.97436106,0.9768395,0.9811861,0.9804695,0.9677416,0.9655888,0.96710646,0.96530354,0.96837753,0.96587414
EaBR,41,0.96053743,0.97040945,0.9286559,0.020069592,0.97384506,0.97646946,0.98112625,0.9799304,0.96763206,0.9648162,0.9670159,0.96455777,0.968249,0.9650748
EaBR,42,0.958981,0.9694659,0.92466146,0.021144629,0.97297543,0.975953,0.9810206,0.9788554,0.9674674,0.9635205,0.96687084,0.96330243,0.9680647,0.9637387
EaBR,43,0.9578354,0.9688133,0.9212347,0.0220342,0.9723976,0.9755173,0.9808818,0.97796583,0.9672778,0.96289426,0.9667007,0.96269345,0.96785575,0.96309507
EaBR,44,0.9570044,0.96832913,0.9189881,0.022590348,0.9720859,0.9751292,0.9807275,0.97740966,0.96707934,0.9625231,0.96652085,0.9623337,0.96763843,0.9627127
EaBR,45,0.95689815,0.9683014,0.9187088,0.022627344,0.97212905,0.97514635,0.98058164,0.9773727,0.96689296,0.96252775,0.9663527,0.9623556,0.9674338,0.9626999
EaBR,46,0.95720404,0.9684956,0.9194297,0.02241362,0.9722658,0.97530884,0.98045415,0.9775864,0.9667299,0.96280646,0.966207,0.9626453,0.9672533,0.9629678
EaBR,47,0.9577367,0.96881336,0.92068887,0.022109438,0.9724861,0.9755254,0.98034734,0.9778905,0.9665936,0.9632105,0.96608603,0.9630206,0.9671017,0.96340036
EaBR,48,0.958084,0.96894556,0.92176026,0.021889547,0.9725261,0.9755498,0.980256,0.9781105,0.9664761,0.9634749,0.96598303,0.9632946,0.9669696,0.9636552
EaBR,49,0.9583236,0.9689865,0.92267096,0.021707864,0.97247094,0.97550315,0.98017746,0.9782922,0.96637326,0.9636842,0.96589446,0.96352,0.9668526,0.9638484
EaBR,50,0.9586755,0.96914536,0.9236746,0.021478228,0.97254,0.9755727,0.98011255,0.9785217,0.9662874,0.96396816,0.9658223,0.9638174,0.96675295,0.964119
