Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,37,0.30574512,0.06349207,0.3511111,0.22132298,0.6141799,0.27622914,0.20360358,0.17995133,0.120961614,0.5940685,0.6427047
MINAS-BR,38,0.2984437,0.061804697,0.36773795,0.21605915,0.5990935,0.27610388,0.1994667,0.17985776,0.11804838,0.5939297,0.6428253
MINAS-BR,39,0.29172105,0.060204696,0.3835039,0.21121837,0.58508927,0.2756687,0.19562489,0.17956153,0.11536196,0.5931326,0.64297134
MINAS-BR,40,0.2867188,0.058719907,0.39635935,0.20767297,0.5738892,0.2750494,0.19317411,0.17915285,0.1136517,0.5918578,0.64327604
MINAS-BR,41,0.28061214,0.057273768,0.41065294,0.20327437,0.56118745,0.2741973,0.18961877,0.178591,0.11119446,0.59009904,0.64340734
MINAS-BR,42,0.28243822,0.05589715,0.40469536,0.20383848,0.56838083,0.27353078,0.19165179,0.17814614,0.11258178,0.58878183,0.64384866
MINAS-BR,43,0.2848703,0.05458515,0.39792576,0.2048765,0.5763282,0.27305138,0.19386518,0.17782123,0.11412626,0.5878882,0.6434087
MINAS-BR,44,0.2871377,0.053333335,0.39093333,0.20577802,0.58417773,0.27274194,0.19604474,0.1776046,0.11563904,0.58738744,0.64343685
MINAS-BR,45,0.28970322,0.052137643,0.38321167,0.20694324,0.59245735,0.27259594,0.19832392,0.17749238,0.11720458,0.5872607,0.6441543
MINAS-BR,46,0.2920372,0.05099439,0.37684855,0.20792988,0.6003739,0.27258912,0.20041372,0.17746828,0.11862537,0.587461,0.64538735
MINAS-BR,47,0.29400495,0.0499002,0.36976048,0.20862466,0.60795075,0.27269325,0.20201163,0.17751159,0.11971066,0.5879541,0.6464353
MINAS-BR,48,0.29509202,0.048851978,0.36590132,0.20884246,0.6127666,0.27286315,0.20303151,0.17759721,0.12047422,0.5885947,0.645096
MINAS-BR,49,0.2969797,0.04784689,0.35933015,0.20956965,0.6195374,0.273124,0.20462245,0.17773971,0.12156665,0.5894573,0.64592844
MINAS-BR,50,0.29835373,0.046882324,0.35396156,0.21003307,0.62509763,0.27344725,0.20578165,0.17792057,0.12239203,0.5904793,0.6457561
MINAS-BR,51,0.30022496,0.04595588,0.34742647,0.21082287,0.63181674,0.27384487,0.207247,0.1781473,0.12339435,0.5916905,0.6467381
UnkRM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnkRM,2,0.0029069767,0.0029069767,0.0029069767,0.0029069767,0.0029069767,0.0029069767,0.0029069767,0.0029069767,0.0029069767,0.0029069767,0.0029069767
UnkRM,3,0.005769231,0.005769231,0.005769231,0.005769231,0.005769231,0.005769231,0.005769231,0.005769231,0.005769231,0.005769231,0.005769231
UnkRM,4,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905
UnkRM,5,0.17199391,0.17199391,0.17199391,0.17199391,0.17199391,0.17199391,0.17199391,0.17199391,0.17199391,0.17199391,0.17199391
UnkRM,6,0.17241378,0.17241378,0.17241378,0.17241378,0.17241378,0.17241378,0.17241378,0.17241378,0.17241378,0.17241378,0.17241378
UnkRM,7,0.17269737,0.17269737,0.17269737,0.17269737,0.17269737,0.17269737,0.17269737,0.17269737,0.17269737,0.17269737,0.17269737
UnkRM,8,0.17289273,0.17289273,0.17289273,0.17289273,0.17289273,0.17289273,0.17289273,0.17289273,0.17289273,0.17289273,0.17289273
UnkRM,9,0.17306054,0.17306054,0.17306054,0.17306054,0.17306054,0.17306054,0.17306054,0.17306054,0.17306054,0.17306054,0.17306054
UnkRM,10,0.17316514,0.17316514,0.17316514,0.17316514,0.17316514,0.17316514,0.17316514,0.17316514,0.17316514,0.17316514,0.17316514
UnkRM,11,0.33994433,0.33994433,0.33994433,0.33994433,0.33994433,0.33994433,0.33994433,0.33994433,0.33994433,0.33994433,0.33994433
UnkRM,12,0.3400383,0.3400383,0.3400383,0.3400383,0.3400383,0.3400383,0.3400383,0.3400383,0.3400383,0.3400383,0.3400383
UnkRM,13,0.340106,0.340106,0.340106,0.340106,0.340106,0.340106,0.340106,0.340106,0.340106,0.340106,0.340106
UnkRM,14,0.34015274,0.34015274,0.34015274,0.34015274,0.34015274,0.34015274,0.34015274,0.34015274,0.34015274,0.34015274,0.34015274
UnkRM,15,0.34019312,0.34019312,0.34019312,0.34019312,0.34019312,0.34019312,0.34019312,0.34019312,0.34019312,0.34019312,0.34019312
UnkRM,16,0.34022823,0.34022823,0.34022823,0.34022823,0.34022823,0.34022823,0.34022823,0.34022823,0.34022823,0.34022823,0.34022823
UnkRM,17,0.34025916,0.34025916,0.34025916,0.34025916,0.34025916,0.34025916,0.34025916,0.34025916,0.34025916,0.34025916,0.34025916
UnkRM,18,0.34028658,0.34028658,0.34028658,0.34028658,0.34028658,0.34028658,0.34028658,0.34028658,0.34028658,0.34028658,0.34028658
UnkRM,19,0.34031102,0.34031102,0.34031102,0.34031102,0.34031102,0.34031102,0.34031102,0.34031102,0.34031102,0.34031102,0.34031102
UnkRM,20,0.34033296,0.34033296,0.34033296,0.34033296,0.34033296,0.34033296,0.34033296,0.34033296,0.34033296,0.34033296,0.34033296
UnkRM,21,0.34035277,0.34035277,0.34035277,0.34035277,0.34035277,0.34035277,0.34035277,0.34035277,0.34035277,0.34035277,0.34035277
UnkRM,22,0.34037074,0.34037074,0.34037074,0.34037074,0.34037074,0.34037074,0.34037074,0.34037074,0.34037074,0.34037074,0.34037074
UnkRM,23,0.34038714,0.34038714,0.34038714,0.34038714,0.34038714,0.34038714,0.34038714,0.34038714,0.34038714,0.34038714,0.34038714
UnkRM,24,0.34010074,0.34010074,0.34010074,0.34010074,0.34010074,0.34010074,0.34010074,0.34010074,0.34010074,0.34010074,0.34010074
UnkRM,25,0.3398367,0.3398367,0.3398367,0.3398367,0.3398367,0.3398367,0.3398367,0.3398367,0.3398367,0.3398367,0.3398367
UnkRM,26,0.33959246,0.33959246,0.33959246,0.33959246,0.33959246,0.33959246,0.33959246,0.33959246,0.33959246,0.33959246,0.33959246
UnkRM,27,0.33936587,0.33936587,0.33936587,0.33936587,0.33936587,0.33936587,0.33936587,0.33936587,0.33936587,0.33936587,0.33936587
UnkRM,28,0.33969674,0.33969674,0.33969674,0.33969674,0.33969674,0.33969674,0.33969674,0.33969674,0.33969674,0.33969674,0.33969674
UnkRM,29,0.33998433,0.33998433,0.33998433,0.33998433,0.33998433,0.33998433,0.33998433,0.33998433,0.33998433,0.33998433,0.33998433
UnkRM,30,0.34037733,0.34037733,0.34037733,0.34037733,0.34037733,0.34037733,0.34037733,0.34037733,0.34037733,0.34037733,0.34037733
UnkRM,31,0.34073806,0.34073806,0.34073806,0.34073806,0.34073806,0.34073806,0.34073806,0.34073806,0.34073806,0.34073806,0.34073806
UnkRM,32,0.34119165,0.34119165,0.34119165,0.34119165,0.34119165,0.34119165,0.34119165,0.34119165,0.34119165,0.34119165,0.34119165
UnkRM,33,0.3416156,0.3416156,0.3416156,0.3416156,0.3416156,0.3416156,0.3416156,0.3416156,0.3416156,0.3416156,0.3416156
UnkRM,34,0.342007,0.342007,0.342007,0.342007,0.342007,0.342007,0.342007,0.342007,0.342007,0.342007,0.342007
UnkRM,35,0.34237397,0.34237397,0.34237397,0.34237397,0.34237397,0.34237397,0.34237397,0.34237397,0.34237397,0.34237397,0.34237397
UnkRM,36,0.34271863,0.34271863,0.34271863,0.34271863,0.34271863,0.34271863,0.34271863,0.34271863,0.34271863,0.34271863,0.34271863
UnkRM,37,0.34318975,0.34318975,0.34318975,0.34318975,0.34318975,0.34318975,0.34318975,0.34318975,0.34318975,0.34318975,0.34318975
UnkRM,38,0.3436406,0.3436406,0.3436406,0.3436406,0.3436406,0.3436406,0.3436406,0.3436406,0.3436406,0.3436406,0.3436406
UnkRM,39,0.34404942,0.34404942,0.34404942,0.34404942,0.34404942,0.34404942,0.34404942,0.34404942,0.34404942,0.34404942,0.34404942
UnkRM,40,0.34444213,0.34444213,0.34444213,0.34444213,0.34444213,0.34444213,0.34444213,0.34444213,0.34444213,0.34444213,0.34444213
UnkRM,41,0.34481916,0.34481916,0.34481916,0.34481916,0.34481916,0.34481916,0.34481916,0.34481916,0.34481916,0.34481916,0.34481916
UnkRM,42,0.34515932,0.34515932,0.34515932,0.34515932,0.34515932,0.34515932,0.34515932,0.34515932,0.34515932,0.34515932,0.34515932
UnkRM,43,0.3454828,0.3454828,0.3454828,0.3454828,0.3454828,0.3454828,0.3454828,0.3454828,0.3454828,0.3454828,0.3454828
UnkRM,44,0.34578955,0.34578955,0.34578955,0.34578955,0.34578955,0.34578955,0.34578955,0.34578955,0.34578955,0.34578955,0.34578955
UnkRM,45,0.34608018,0.34608018,0.34608018,0.34608018,0.34608018,0.34608018,0.34608018,0.34608018,0.34608018,0.34608018,0.34608018
UnkRM,46,0.34635735,0.34635735,0.34635735,0.34635735,0.34635735,0.34635735,0.34635735,0.34635735,0.34635735,0.34635735,0.34635735
UnkRM,47,0.34618762,0.34618762,0.34618762,0.34618762,0.34618762,0.34618762,0.34618762,0.34618762,0.34618762,0.34618762,0.34618762
UnkRM,48,0.3460245,0.3460245,0.3460245,0.3460245,0.3460245,0.3460245,0.3460245,0.3460245,0.3460245,0.3460245,0.3460245
UnkRM,49,0.34586856,0.34586856,0.34586856,0.34586856,0.34586856,0.34586856,0.34586856,0.34586856,0.34586856,0.34586856,0.34586856
UnkRM,50,0.345716,0.345716,0.345716,0.345716,0.345716,0.345716,0.345716,0.345716,0.345716,0.345716,0.345716
UnkRM,51,0.34556863,0.34556863,0.34556863,0.34556863,0.34556863,0.34556863,0.34556863,0.34556863,0.34556863,0.34556863,0.34556863
