Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
HOMER,35,0.32526135,0.3418334,0.2774825,0.100053474,0.37009856,0.33216086,0.5468712,0.58707184,0.37174922,0.31546596,0.39885145,0.3551964,0.34809592,0.2837295
HOMER,36,0.32685614,0.34319156,0.27974832,0.097274244,0.3710437,0.33362404,0.5487368,0.5896669,0.37073883,0.3148615,0.397569,0.35133952,0.34730104,0.28524572
HOMER,37,0.32792947,0.3439784,0.28166455,0.09464523,0.37123066,0.33463648,0.5506108,0.592226,0.36983013,0.3150756,0.3963764,0.34978074,0.34661642,0.2866357
HOMER,38,0.32858104,0.3443374,0.28316832,0.0921546,0.3708549,0.33536443,0.5524893,0.5950084,0.369002,0.31634256,0.39525405,0.3509233,0.34602,0.28796577
HOMER,39,0.3283845,0.3439095,0.28364494,0.08979168,0.36962676,0.33543316,0.5543366,0.5972904,0.36821273,0.3178808,0.39415637,0.35294572,0.34547347,0.2891536
HOMER,40,0.32754987,0.3430284,0.2829423,0.08754691,0.36797777,0.33519286,0.55611813,0.5990045,0.36744004,0.3202442,0.39306557,0.3567604,0.34495136,0.29050913
HOMER,41,0.32618502,0.34207693,0.28048518,0.0855048,0.36682847,0.3346861,0.5577537,0.5990424,0.36667645,0.32449362,0.39201978,0.36469844,0.34441096,0.29227304
HOMER,42,0.3245357,0.34145045,0.27618068,0.08406923,0.36806205,0.33352548,0.55914783,0.596697,0.3659672,0.3318046,0.3911671,0.38029033,0.3438177,0.29428434
HOMER,43,0.322827,0.34091377,0.27149013,0.083331116,0.3708239,0.33184028,0.56027627,0.5931826,0.36535436,0.3406016,0.39060187,0.40051484,0.34317255,0.29628077
HOMER,44,0.32038105,0.33908886,0.26739472,0.08225326,0.37076038,0.32930675,0.56120926,0.59076375,0.3647597,0.34586865,0.3901542,0.4139716,0.34246898,0.29700756
HOMER,45,0.31632262,0.3352223,0.26274288,0.08053578,0.36644286,0.32598603,0.5620146,0.5892742,0.36405745,0.34448498,0.38957137,0.4133581,0.34168008,0.29528508
HOMER,46,0.31186798,0.33068037,0.25849256,0.07878501,0.36108413,0.32209632,0.5627309,0.58847576,0.3632241,0.34141254,0.38880324,0.40960136,0.34080285,0.29268715
HOMER,47,0.30834112,0.32692116,0.25560153,0.07710875,0.35652637,0.31883538,0.5633939,0.588321,0.36229885,0.33890903,0.38789606,0.40666974,0.3398708,0.29050422
HOMER,48,0.30626625,0.32461295,0.25416782,0.07550233,0.35344765,0.31699947,0.56404096,0.58882076,0.36134252,0.33736745,0.38691947,0.40447742,0.3389374,0.28935784
HOMER,49,0.30493867,0.32299867,0.25364235,0.073961474,0.35115722,0.315714,0.56468815,0.5896247,0.3603805,0.33619502,0.38590777,0.40270182,0.33802083,0.2885419
HOMER,50,0.30376583,0.32148916,0.25342247,0.07248281,0.34906036,0.31439832,0.5653355,0.59046954,0.3594147,0.33504355,0.3848693,0.40105715,0.33711824,0.28769007
