Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
BPMLL,31,0.35207516,0.40723377,0.18592423,0.0,0.43838015,0.42391294,0.8185337,0.8144762,0.49682084,0.36738324,0.5903234,0.38732845,0.42888838,0.3493916
BPMLL,32,0.34430796,0.39904553,0.18011415,0.0,0.43070045,0.41459695,0.8181733,0.8125862,0.49511415,0.36589417,0.58803594,0.38273534,0.42755207,0.35047266
BPMLL,33,0.33593068,0.38984886,0.1746562,0.0,0.4213375,0.40460542,0.8177473,0.8109313,0.49311623,0.36357385,0.5853701,0.37707278,0.42598188,0.35100797
BPMLL,34,0.32814592,0.3813161,0.16951929,0.0,0.41272527,0.3952632,0.8172713,0.8094168,0.49089077,0.3615657,0.5824208,0.3723025,0.4242223,0.3514308
BPMLL,35,0.32136515,0.3740289,0.16467592,0.0,0.40555373,0.38714916,0.8167586,0.8080428,0.4885164,0.36007744,0.5792923,0.36831397,0.42233583,0.35220122
BPMLL,36,0.3152848,0.3676146,0.16010164,0.0,0.39954102,0.37983397,0.8162005,0.80643487,0.4860221,0.35871586,0.5760437,0.36503357,0.42033413,0.35261306
BPMLL,37,0.30920744,0.36111656,0.1557746,0.0,0.39315966,0.3726056,0.8156157,0.80508804,0.48342967,0.3571762,0.572684,0.36131796,0.41824505,0.3531283
BPMLL,38,0.30303624,0.3543893,0.1516753,0.0,0.3864048,0.3652411,0.81500906,0.8037856,0.48073736,0.3554638,0.5692011,0.35747522,0.4160724,0.35347486
BPMLL,39,0.3032122,0.3544009,0.15237916,0.0,0.3859871,0.36550695,0.8144735,0.804299,0.47823694,0.3556839,0.56593215,0.35727933,0.41407335,0.35410258
BPMLL,40,0.30598342,0.35726342,0.15463828,0.0,0.38837722,0.36897692,0.8140267,0.8053143,0.47604617,0.35718772,0.5630176,0.35936528,0.41234908,0.35503638
BPMLL,41,0.30891207,0.36033273,0.1570589,0.0,0.39132327,0.3724269,0.8136559,0.8062403,0.47413257,0.35839918,0.56043327,0.3613595,0.41086397,0.35548705
BPMLL,42,0.31244794,0.36400256,0.16000642,0.0,0.394816,0.37652615,0.8133615,0.8073271,0.47250208,0.35966778,0.5581724,0.36327365,0.4096305,0.35613278
BPMLL,43,0.31546682,0.3672628,0.16206008,0.0,0.3979211,0.38024294,0.81312835,0.80823076,0.4711261,0.3617567,0.5562064,0.36578983,0.40862125,0.35781157
BPMLL,44,0.31791893,0.36972946,0.1643069,0.0,0.39988253,0.38332444,0.8129566,0.80926216,0.46993953,0.3632858,0.55444926,0.3673123,0.40778455,0.35934666
BPMLL,45,0.32032046,0.3722356,0.16625841,0.0,0.40204617,0.38634744,0.8128322,0.8100979,0.46892083,0.3649471,0.5528856,0.36924276,0.4070965,0.36075026
BPMLL,46,0.32291457,0.37487367,0.1686413,0.0,0.40438274,0.38943964,0.8127593,0.81111884,0.46805444,0.36569762,0.55149674,0.37032568,0.40654373,0.36118382
BPMLL,47,0.32478392,0.3767964,0.17018051,0.0,0.406246,0.39152852,0.8127166,0.8117339,0.46733022,0.3665982,0.55029505,0.37183017,0.4061042,0.3615114
BPMLL,48,0.3259197,0.37790313,0.171338,0.0,0.4067759,0.39326805,0.81269795,0.8122616,0.46668243,0.36653346,0.5491748,0.37193945,0.4057362,0.36128235
BPMLL,49,0.327218,0.37927353,0.17234056,0.0,0.4079209,0.39499348,0.8127029,0.8128182,0.4661221,0.36683324,0.54816127,0.37261826,0.40544257,0.36122513
BPMLL,50,0.32873195,0.38096306,0.17324138,0.0,0.40948966,0.39705834,0.8127284,0.8133557,0.4656596,0.36789462,0.5472654,0.37410676,0.40523303,0.36188543
