Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,38,0.74513924,0.5390089,0.0,0.7897525,0.7663445,0.8764262,0.7957847,0.86704224,0.82908934,0.88601565,0.76505256
MINAS-BR,39,0.7346046,0.525444,0.0,0.78372264,0.7537087,0.87085545,0.68783885,0.86443156,0.7127757,0.8773756,0.6645878
MINAS-BR,40,0.7254807,0.5133203,0.0,0.7786735,0.7427216,0.8652179,0.70213073,0.86177564,0.73683846,0.86868775,0.67054564
MINAS-BR,41,0.7165076,0.5018386,0.0,0.77391416,0.7317071,0.8595154,0.69668156,0.85907173,0.73719513,0.8599594,0.660389
MINAS-BR,42,0.70778954,0.4907438,0.0,0.76931757,0.72106636,0.8537492,0.6903714,0.85629696,0.7358985,0.8512165,0.6501492
MINAS-BR,43,0.6994554,0.48030034,0.0,0.7649649,0.71090525,0.84794044,0.6827882,0.8534614,0.7321629,0.8424904,0.63965213
MINAS-BR,44,0.6915417,0.47026086,0.0,0.76091415,0.70123166,0.84212524,0.6774864,0.8505991,0.7308979,0.8338185,0.63134956
MINAS-BR,45,0.68349427,0.46038163,0.0,0.75689167,0.69143647,0.8362946,0.6712657,0.8477148,0.7289006,0.82517797,0.62207735
MINAS-BR,46,0.67539984,0.450684,0.0,0.75262606,0.68163127,0.8304506,0.663834,0.8448016,0.7252661,0.81657904,0.6119961
MINAS-BR,47,0.66765034,0.44170934,0.0,0.74823284,0.6723932,0.82460505,0.6565295,0.84184134,0.72130835,0.80806047,0.60242695
MINAS-BR,48,0.6602333,0.43310174,0.0,0.74433315,0.66340303,0.8187708,0.6498161,0.83886904,0.7183685,0.79961324,0.59320754
MINAS-BR,49,0.6533704,0.4251996,0.0,0.7406393,0.65516,0.81296575,0.64332867,0.8358849,0.7152,0.7912699,0.58458316
MINAS-BR,50,0.64618486,0.4171681,0.0,0.7366175,0.6465648,0.8071714,0.6363737,0.8328796,0.7115962,0.7830028,0.57553434
UnkRM,1,0.0016511861,0.0016511861,0.0016511861,0.0016511861,0.0016511861,0.0016511861,0.0016511861,0.0016511861,0.0016511861,0.0016511861,0.0016511861
UnkRM,2,0.0050535304,0.0050535304,0.0050535304,0.0050535304,0.0050535304,0.0050535304,0.0050535304,0.0050535304,0.0050535304,0.0050535304,0.0050535304
UnkRM,3,0.009909373,0.009909373,0.009909373,0.009909373,0.009909373,0.009909373,0.009909373,0.009909373,0.009909373,0.009909373,0.009909373
UnkRM,4,0.013729642,0.013729642,0.013729642,0.013729642,0.013729642,0.013729642,0.013729642,0.013729642,0.013729642,0.013729642,0.013729642
UnkRM,5,0.018625872,0.018625872,0.018625872,0.018625872,0.018625872,0.018625872,0.018625872,0.018625872,0.018625872,0.018625872,0.018625872
UnkRM,6,0.024663227,0.024663227,0.024663227,0.024663227,0.024663227,0.024663227,0.024663227,0.024663227,0.024663227,0.024663227,0.024663227
UnkRM,7,0.029325191,0.029325191,0.029325191,0.029325191,0.029325191,0.029325191,0.029325191,0.029325191,0.029325191,0.029325191,0.029325191
UnkRM,8,0.033248004,0.033248004,0.033248004,0.033248004,0.033248004,0.033248004,0.033248004,0.033248004,0.033248004,0.033248004,0.033248004
UnkRM,9,0.036343075,0.036343075,0.036343075,0.036343075,0.036343075,0.036343075,0.036343075,0.036343075,0.036343075,0.036343075,0.036343075
UnkRM,10,0.04085477,0.04085477,0.04085477,0.04085477,0.04085477,0.04085477,0.04085477,0.04085477,0.04085477,0.04085477,0.04085477
UnkRM,11,0.050882567,0.050882567,0.050882567,0.050882567,0.050882567,0.050882567,0.050882567,0.050882567,0.050882567,0.050882567,0.050882567
UnkRM,12,0.059776254,0.059776254,0.059776254,0.059776254,0.059776254,0.059776254,0.059776254,0.059776254,0.059776254,0.059776254,0.059776254
UnkRM,13,0.06864645,0.06864645,0.06864645,0.06864645,0.06864645,0.06864645,0.06864645,0.06864645,0.06864645,0.06864645,0.06864645
UnkRM,14,0.07658872,0.07658872,0.07658872,0.07658872,0.07658872,0.07658872,0.07658872,0.07658872,0.07658872,0.07658872,0.07658872
UnkRM,15,0.08366782,0.08366782,0.08366782,0.08366782,0.08366782,0.08366782,0.08366782,0.08366782,0.08366782,0.08366782,0.08366782
UnkRM,16,0.0903098,0.0903098,0.0903098,0.0903098,0.0903098,0.0903098,0.0903098,0.0903098,0.0903098,0.0903098,0.0903098
UnkRM,17,0.24725038,0.24725038,0.24725038,0.24725038,0.24725038,0.24725038,0.24725038,0.24725038,0.24725038,0.24725038,0.24725038
UnkRM,18,0.2519364,0.2519364,0.2519364,0.2519364,0.2519364,0.2519364,0.2519364,0.2519364,0.2519364,0.2519364,0.2519364
UnkRM,19,0.2563407,0.2563407,0.2563407,0.2563407,0.2563407,0.2563407,0.2563407,0.2563407,0.2563407,0.2563407,0.2563407
UnkRM,20,0.26085517,0.26085517,0.26085517,0.26085517,0.26085517,0.26085517,0.26085517,0.26085517,0.26085517,0.26085517,0.26085517
UnkRM,21,0.27121103,0.27121103,0.27121103,0.27121103,0.27121103,0.27121103,0.27121103,0.27121103,0.27121103,0.27121103,0.27121103
UnkRM,22,0.2808012,0.2808012,0.2808012,0.2808012,0.2808012,0.2808012,0.2808012,0.2808012,0.2808012,0.2808012,0.2808012
UnkRM,23,0.29016456,0.29016456,0.29016456,0.29016456,0.29016456,0.29016456,0.29016456,0.29016456,0.29016456,0.29016456,0.29016456
UnkRM,24,0.29938355,0.29938355,0.29938355,0.29938355,0.29938355,0.29938355,0.29938355,0.29938355,0.29938355,0.29938355,0.29938355
UnkRM,25,0.30877805,0.30877805,0.30877805,0.30877805,0.30877805,0.30877805,0.30877805,0.30877805,0.30877805,0.30877805,0.30877805
UnkRM,26,0.3171896,0.3171896,0.3171896,0.3171896,0.3171896,0.3171896,0.3171896,0.3171896,0.3171896,0.3171896,0.3171896
UnkRM,27,0.32601,0.32601,0.32601,0.32601,0.32601,0.32601,0.32601,0.32601,0.32601,0.32601,0.32601
UnkRM,28,0.33366704,0.33366704,0.33366704,0.33366704,0.33366704,0.33366704,0.33366704,0.33366704,0.33366704,0.33366704,0.33366704
UnkRM,29,0.31186584,0.31186584,0.31186584,0.31186584,0.31186584,0.31186584,0.31186584,0.31186584,0.31186584,0.31186584,0.31186584
UnkRM,30,0.29624954,0.29624954,0.29624954,0.29624954,0.29624954,0.29624954,0.29624954,0.29624954,0.29624954,0.29624954,0.29624954
UnkRM,31,0.28302518,0.28302518,0.28302518,0.28302518,0.28302518,0.28302518,0.28302518,0.28302518,0.28302518,0.28302518,0.28302518
UnkRM,32,0.27127954,0.27127954,0.27127954,0.27127954,0.27127954,0.27127954,0.27127954,0.27127954,0.27127954,0.27127954,0.27127954
UnkRM,33,0.26099363,0.26099363,0.26099363,0.26099363,0.26099363,0.26099363,0.26099363,0.26099363,0.26099363,0.26099363,0.26099363
UnkRM,34,0.25191453,0.25191453,0.25191453,0.25191453,0.25191453,0.25191453,0.25191453,0.25191453,0.25191453,0.25191453,0.25191453
UnkRM,35,0.24423273,0.24423273,0.24423273,0.24423273,0.24423273,0.24423273,0.24423273,0.24423273,0.24423273,0.24423273,0.24423273
UnkRM,36,0.23762028,0.23762028,0.23762028,0.23762028,0.23762028,0.23762028,0.23762028,0.23762028,0.23762028,0.23762028,0.23762028
UnkRM,37,0.23171699,0.23171699,0.23171699,0.23171699,0.23171699,0.23171699,0.23171699,0.23171699,0.23171699,0.23171699,0.23171699
UnkRM,38,0.22634514,0.22634514,0.22634514,0.22634514,0.22634514,0.22634514,0.22634514,0.22634514,0.22634514,0.22634514,0.22634514
UnkRM,39,0.21002075,0.21002075,0.21002075,0.21002075,0.21002075,0.21002075,0.21002075,0.21002075,0.21002075,0.21002075,0.21002075
UnkRM,40,0.2517213,0.2517213,0.2517213,0.2517213,0.2517213,0.2517213,0.2517213,0.2517213,0.2517213,0.2517213,0.2517213
UnkRM,41,0.26640478,0.26640478,0.26640478,0.26640478,0.26640478,0.26640478,0.26640478,0.26640478,0.26640478,0.26640478,0.26640478
UnkRM,42,0.26830366,0.26830366,0.26830366,0.26830366,0.26830366,0.26830366,0.26830366,0.26830366,0.26830366,0.26830366,0.26830366
UnkRM,43,0.26841837,0.26841837,0.26841837,0.26841837,0.26841837,0.26841837,0.26841837,0.26841837,0.26841837,0.26841837,0.26841837
UnkRM,44,0.26819625,0.26819625,0.26819625,0.26819625,0.26819625,0.26819625,0.26819625,0.26819625,0.26819625,0.26819625,0.26819625
UnkRM,45,0.26752892,0.26752892,0.26752892,0.26752892,0.26752892,0.26752892,0.26752892,0.26752892,0.26752892,0.26752892,0.26752892
UnkRM,46,0.26591754,0.26591754,0.26591754,0.26591754,0.26591754,0.26591754,0.26591754,0.26591754,0.26591754,0.26591754,0.26591754
UnkRM,47,0.26470214,0.26470214,0.26470214,0.26470214,0.26470214,0.26470214,0.26470214,0.26470214,0.26470214,0.26470214,0.26470214
UnkRM,48,0.26372954,0.26372954,0.26372954,0.26372954,0.26372954,0.26372954,0.26372954,0.26372954,0.26372954,0.26372954,0.26372954
UnkRM,49,0.2635052,0.2635052,0.2635052,0.2635052,0.2635052,0.2635052,0.2635052,0.2635052,0.2635052,0.2635052,0.2635052
UnkRM,50,0.26221505,0.26221505,0.26221505,0.26221505,0.26221505,0.26221505,0.26221505,0.26221505,0.26221505,0.26221505,0.26221505
