Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.9441017,0.843488,0.0,0.96198994,0.95136946,0.9453655,0.9457062,0.9521822,0.95185995,0.9386457,0.93963146
MINAS-BR,2,0.9491763,0.8566228,0.0,0.95948845,0.96205544,0.9489115,0.95114124,0.9500375,0.94884175,0.9477882,0.95345193
MINAS-BR,3,0.95292675,0.86610484,0.0,0.9568039,0.9707865,0.951475,0.9540632,0.9475744,0.9446703,0.95540804,0.9636446
MINAS-BR,4,0.9534826,0.8676056,0.0,0.95408446,0.9743662,0.9527199,0.9546818,0.94524777,0.9412902,0.9603112,0.96845996
MINAS-BR,5,0.95248926,0.86572397,0.0,0.95141405,0.9752451,0.9530495,0.95366484,0.9430659,0.93810654,0.9632468,0.9697479
MINAS-BR,6,0.9508508,0.86109793,0.0,0.94791573,0.97615445,0.9527423,0.95234406,0.94055253,0.9343508,0.96525216,0.97104394
MINAS-BR,7,0.94877225,0.8567698,0.0,0.9453876,0.97498596,0.9520574,0.9502613,0.93828785,0.9314438,0.9662371,0.9698547
MINAS-BR,8,0.94619316,0.85202986,0.0,0.9429901,0.9726609,0.95105255,0.9476473,0.9362058,0.9286604,0.9663778,0.9674268
MINAS-BR,9,0.94466424,0.8471191,0.0,0.9410692,0.9723329,0.9499841,0.94576997,0.9341875,0.92563343,0.96632415,0.9668021
MINAS-BR,10,0.9425316,0.84164786,0.0,0.93931675,0.9705665,0.9487975,0.9434416,0.93231744,0.9231998,0.9658707,0.964591
MINAS-BR,11,0.9405508,0.8374139,0.0,0.93761706,0.96880424,0.9475814,0.9413827,0.93058956,0.9210809,0.9652053,0.9625996
MINAS-BR,12,0.9380897,0.8327221,0.0,0.935317,0.966766,0.94630194,0.93916667,0.9288823,0.91851634,0.9643875,0.960767
MINAS-BR,13,0.93545884,0.8278666,0.0,0.93288517,0.96447366,0.9449552,0.9367314,0.9271868,0.9159732,0.96341795,0.9584524
MINAS-BR,14,0.9338086,0.8240462,0.0,0.93167967,0.96288615,0.9436504,0.9350304,0.9256286,0.914567,0.96238804,0.9564306
MINAS-BR,15,0.93119645,0.81756246,0.0,0.9295856,0.9607081,0.9422639,0.9326065,0.92404634,0.9121932,0.96121407,0.9539545
MINAS-BR,16,0.9281162,0.810632,0.0,0.9269334,0.95814264,0.94076943,0.9298791,0.92237973,0.9094623,0.9599073,0.9512337
MINAS-BR,17,0.9254014,0.8042508,0.0,0.92503434,0.9555085,0.9392198,0.7727851,0.9207299,0.7560439,0.95846754,0.7902846
MINAS-BR,18,0.9221808,0.7971198,0.0,0.9229438,0.9520573,0.93759054,0.77057886,0.91908973,0.75430673,0.95685136,0.78756857
MINAS-BR,19,0.91867304,0.78899777,0.0,0.9202728,0.9488338,0.93588066,0.76831686,0.9173955,0.7520916,0.9551261,0.7852578
MINAS-BR,20,0.91527265,0.78170997,0.0,0.9176191,0.94566256,0.9341196,0.7661425,0.91566765,0.7499346,0.95333046,0.78306633
MINAS-BR,21,0.9120892,0.7745409,0.0,0.9148417,0.9430351,0.9323244,0.7639539,0.9138864,0.74759835,0.95152164,0.78104115
MINAS-BR,22,0.908623,0.7673438,0.0,0.9124729,0.93939817,0.93048877,0.7617099,0.91211754,0.7457648,0.94961536,0.7783518
MINAS-BR,23,0.90500164,0.7596264,0.0,0.90964,0.9360403,0.9286134,0.75942945,0.9103192,0.7435557,0.947658,0.77599573
MINAS-BR,24,0.88797486,0.73890007,0.0,0.89459395,0.918184,0.92597795,0.8628168,0.90822345,0.8475103,0.94444036,0.8786864
MINAS-BR,25,0.87346333,0.7190982,0.0,0.8814809,0.9037547,0.92275566,0.8594032,0.9057735,0.83922106,0.9403868,0.88057995
MINAS-BR,26,0.8608081,0.701345,0.0,0.8705015,0.8910703,0.91913396,0.856198,0.90311646,0.8371365,0.9357299,0.8761478
MINAS-BR,27,0.8475541,0.6832926,0.0,0.85924155,0.8773825,0.9151006,0.85051185,0.9002511,0.83414555,0.9304483,0.8675334
MINAS-BR,28,0.83487767,0.66624916,0.0,0.84879965,0.8640828,0.91073114,0.8444867,0.8972267,0.832045,0.92464834,0.85730624
MINAS-BR,29,0.82183444,0.64912283,0.0,0.83788913,0.8505606,0.9060632,0.83753675,0.8940464,0.8292195,0.91840744,0.8460226
MINAS-BR,30,0.8094357,0.63302034,0.0,0.82802343,0.8372838,0.90112776,0.8302812,0.89072734,0.8260233,0.9117739,0.8345832
MINAS-BR,31,0.79739666,0.6170399,0.0,0.8191196,0.8241315,0.8959743,0.82330227,0.887335,0.8239791,0.9047835,0.8226266
MINAS-BR,32,0.7854365,0.6010424,0.0,0.8107446,0.8107695,0.890633,0.8164099,0.8839165,0.82271284,0.89745235,0.8102028
MINAS-BR,33,0.7744911,0.5862876,0.0,0.8035963,0.79826456,0.8851724,0.8097655,0.88051295,0.82167435,0.88988143,0.798197
MINAS-BR,34,0.7639863,0.5718051,0.0,0.79719764,0.78622824,0.8796144,0.8031258,0.87713814,0.82068914,0.88210475,0.78629833
MINAS-BR,35,0.75336456,0.55740285,0.0,0.7906893,0.77408063,0.8739658,0.7960399,0.873784,0.8191154,0.8741477,0.774229
MINAS-BR,36,0.74371934,0.5441243,0.0,0.7853333,0.76265764,0.8682928,0.7895871,0.87052125,0.81857413,0.8660757,0.7625828
MINAS-BR,37,0.73438895,0.5313686,0.0,0.7803723,0.75157386,0.86260927,0.7830139,0.8673502,0.817848,0.8579199,0.75102586
MINAS-BR,38,0.7256395,0.51916164,0.0,0.77594423,0.74103034,0.85694003,0.77655685,0.8642735,0.8170497,0.84972996,0.7398882
MINAS-BR,39,0.71668833,0.507248,0.0,0.77097416,0.73041576,0.85128516,0.6598755,0.86127025,0.69921404,0.8415289,0.62472767
MINAS-BR,40,0.7083586,0.4967591,0.0,0.7660481,0.7206134,0.84565663,0.654604,0.85831684,0.6974621,0.8333645,0.61670816
MINAS-BR,41,0.7002389,0.48671013,0.0,0.761582,0.7108495,0.8400552,0.6494145,0.8554258,0.6959366,0.82522726,0.6087223
MINAS-BR,42,0.6920211,0.47673827,0.0,0.7569191,0.70103586,0.8344607,0.6439304,0.8525573,0.69386846,0.8171162,0.6006979
MINAS-BR,43,0.6843182,0.467384,0.0,0.7526919,0.6918292,0.8288817,0.6396899,0.84969354,0.6938278,0.809065,0.5933891
MINAS-BR,44,0.6768816,0.45837086,0.0,0.74857265,0.68295246,0.8233289,0.63463795,0.84683585,0.6917943,0.80109173,0.58620536
MINAS-BR,45,0.6695041,0.44953808,0.0,0.74475855,0.674134,0.8177962,0.6297886,0.84399515,0.69057876,0.79317474,0.57883495
MINAS-BR,46,0.66202265,0.4408067,0.0,0.74055547,0.66525954,0.8122818,0.6244276,0.84115773,0.68809843,0.78532255,0.57154197
MINAS-BR,47,0.65481436,0.4326529,0.0,0.73634577,0.65679276,0.80679077,0.61898273,0.8383105,0.6850354,0.77755547,0.5645477
MINAS-BR,48,0.6479601,0.42485306,0.0,0.73252046,0.6486718,0.8013285,0.6137927,0.8354663,0.6823391,0.7698709,0.55776125
MINAS-BR,49,0.6414818,0.4176575,0.0,0.72877026,0.6410933,0.7959026,0.6087611,0.83261836,0.67952806,0.7622882,0.5513434
MINAS-BR,50,0.63494796,0.41047817,0.0,0.72502035,0.63340926,0.7905087,0.60361993,0.82977617,0.67689717,0.7547897,0.5446582
UnkRM,1,0.0041891616,0.0041891616,0.0041891616,0.0041891616,0.0041891616,0.0041891616,0.0041891616,0.0041891616,0.0041891616,0.0041891616,0.0041891616
