Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
EaBR,31,0.6001957,0.7149759,0.17406876,0.21288636,0.75982815,0.7316468,0.7573108,0.7986725,0.70657736,0.6140558,0.72426206,0.63150513,0.68973565,0.59754485
EaBR,32,0.60214084,0.7168548,0.17279667,0.21092252,0.76184964,0.73328245,0.75943106,0.8002817,0.707921,0.61288404,0.7256723,0.6303544,0.6910175,0.5963561
EaBR,33,0.60742104,0.7209088,0.18102288,0.2075635,0.76586825,0.73658466,0.76156855,0.8033068,0.7093459,0.612894,0.7271653,0.6304746,0.69237876,0.59626716
EaBR,34,0.6074206,0.72094256,0.18223384,0.20652474,0.7665232,0.7366181,0.76357925,0.8040305,0.7106583,0.6112296,0.7285469,0.6289206,0.69362724,0.59450656
EaBR,35,0.6103813,0.72334963,0.18654822,0.20422336,0.76923776,0.73883134,0.76555234,0.8060344,0.71197927,0.61030656,0.7299363,0.6280306,0.69488454,0.5935555
EaBR,36,0.6113725,0.7244348,0.18630475,0.20261528,0.7708013,0.73992294,0.7674517,0.80736107,0.71324813,0.60944873,0.7312643,0.6271594,0.6960984,0.5927108
EaBR,37,0.6070881,0.72052824,0.18307322,0.20399523,0.76773834,0.73604333,0.76911783,0.8053792,0.714253,0.60633475,0.73233104,0.62402755,0.697046,0.5896175
EaBR,38,0.6040984,0.71811765,0.18001169,0.20462069,0.7654405,0.7340335,0.7706163,0.80457044,0.7150839,0.6072101,0.73321205,0.6244845,0.69783056,0.5908657
EaBR,39,0.60210985,0.71638125,0.17881548,0.20492934,0.7641695,0.73220825,0.7719812,0.8040821,0.7157688,0.60664684,0.73394704,0.62377244,0.6984692,0.5904365
EaBR,40,0.59762454,0.7122003,0.17601332,0.2065645,0.75954014,0.7287198,0.77315706,0.80227107,0.7162412,0.60437834,0.73444676,0.62091225,0.69891626,0.5887022
EaBR,41,0.5949799,0.70990247,0.17388949,0.20649478,0.7570594,0.7267557,0.7742486,0.8021693,0.7166017,0.60528517,0.73482305,0.62175304,0.6992622,0.58966714
EaBR,42,0.59215623,0.70724744,0.17292438,0.20678087,0.75440603,0.7247527,0.7752462,0.8017165,0.7168468,0.60557896,0.7350852,0.62204224,0.69949156,0.58996475
EaBR,43,0.5942595,0.7089985,0.17303719,0.20649412,0.7558336,0.72615755,0.7761863,0.8015907,0.7171703,0.60502815,0.73542774,0.6215598,0.6997974,0.58935314
EaBR,44,0.5884253,0.70336425,0.1701161,0.20891263,0.7506471,0.7206416,0.776947,0.7987358,0.7172736,0.6016539,0.7355491,0.61807865,0.6998842,0.5860794
EaBR,45,0.5862886,0.70105046,0.16929911,0.20904374,0.7479263,0.71841455,0.7776494,0.7984552,0.7173058,0.60174125,0.7355856,0.61790806,0.6999124,0.58639884
EaBR,46,0.58228225,0.69675785,0.16900048,0.20969224,0.74374634,0.7147149,0.7782754,0.7976883,0.71722245,0.60168016,0.7354964,0.61764497,0.6998346,0.5865199
EaBR,47,0.58072376,0.6951605,0.16871455,0.20897412,0.74289477,0.7135773,0.7788915,0.7982901,0.7171089,0.60202914,0.7353766,0.61800474,0.6997267,0.5868587
EaBR,48,0.5789304,0.6930361,0.1679778,0.2089801,0.7409934,0.7115196,0.7794675,0.7981701,0.71695554,0.60310274,0.73522127,0.6191186,0.69957536,0.5878947
EaBR,49,0.5763819,0.6907579,0.16681777,0.20936354,0.738712,0.70958686,0.7799908,0.79767483,0.7167444,0.60328406,0.734996,0.6190763,0.69937736,0.5882774
EaBR,50,0.5757569,0.6900659,0.16644053,0.20941775,0.7383984,0.7086606,0.7804718,0.7976084,0.7165357,0.6031116,0.7347817,0.61902875,0.6991738,0.5879926
