Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
EaISOUPTree,30,0.6671302,0.76412964,0.2810794,0.11393516,0.79378915,0.794057,0.87958884,0.8924749,0.75724584,0.57081264,0.75795597,0.5710332,0.756537,0.5705923
EaISOUPTree,31,0.66161656,0.75864476,0.2784984,0.115009144,0.78893834,0.78859985,0.879975,0.89120144,0.75707835,0.5709113,0.7577518,0.5710696,0.756406,0.57075316
EaISOUPTree,32,0.65727377,0.75433445,0.27628678,0.115882,0.78495884,0.78488857,0.8802673,0.8901404,0.7567222,0.5708216,0.7573407,0.57057476,0.7561048,0.5710686
EaISOUPTree,33,0.6533461,0.7506203,0.27352324,0.1169014,0.781527,0.7818239,0.88046783,0.8889438,0.7562254,0.5704821,0.7567696,0.5698026,0.75568205,0.5711632
EaISOUPTree,34,0.64820474,0.7457063,0.27009985,0.117980614,0.77721,0.77753437,0.8805838,0.8876972,0.75555336,0.5701497,0.7560169,0.5692457,0.7550905,0.57105654
EaISOUPTree,35,0.64355737,0.7412278,0.26736665,0.11940588,0.7729277,0.7737035,0.88060445,0.8860223,0.75472045,0.5695441,0.7551008,0.5684885,0.75434047,0.57060367
EaISOUPTree,36,0.63958067,0.7374159,0.26463735,0.12045412,0.7695116,0.77021086,0.8805621,0.88481975,0.7537903,0.5712606,0.7540863,0.57005185,0.75349444,0.5724744
EaISOUPTree,37,0.63536906,0.7334395,0.26133582,0.1219075,0.7660031,0.76656777,0.880441,0.8832262,0.75275254,0.57334256,0.75296885,0.57209915,0.75253636,0.57459134
EaISOUPTree,38,0.6330475,0.73131734,0.25915414,0.122494176,0.7641438,0.7646791,0.880297,0.8825042,0.75171655,0.57542795,0.75185525,0.5741064,0.7515778,0.57675564
EaISOUPTree,39,0.6291271,0.727529,0.25602594,0.123820685,0.76083195,0.76100767,0.88009304,0.8810539,0.7505982,0.57621104,0.7506623,0.5748533,0.7505342,0.5775752
EaISOUPTree,40,0.62683684,0.7253039,0.25495157,0.12439109,0.7585783,0.75917435,0.8798745,0.8803523,0.7494648,0.57578063,0.7494409,0.57396567,0.7494887,0.57760715
EaISOUPTree,41,0.62280476,0.7214706,0.25207847,0.12537569,0.7551406,0.755655,0.87962186,0.87925816,0.74826354,0.57437694,0.7481519,0.5724418,0.74837524,0.5763252
EaISOUPTree,42,0.6197988,0.7185125,0.25048345,0.12616727,0.7525444,0.753033,0.87934804,0.8783619,0.74702317,0.5730187,0.7468121,0.57072026,0.74723446,0.57533574
EaISOUPTree,43,0.6166342,0.71569145,0.24772404,0.12703557,0.7499478,0.75051326,0.8790513,0.8773932,0.7457524,0.5729026,0.74544924,0.5706365,0.7460557,0.5751868
EaISOUPTree,44,0.6160902,0.71510077,0.24696626,0.1272495,0.74940884,0.7498246,0.8787647,0.8770817,0.7445438,0.573113,0.7441606,0.5710463,0.7449273,0.57519484
EaISOUPTree,45,0.6194239,0.7182033,0.24721861,0.12651229,0.752079,0.75241745,0.87853116,0.8777268,0.7435692,0.5725595,0.74311584,0.5705875,0.7440231,0.5745452
EaISOUPTree,46,0.6183162,0.7169633,0.24711263,0.12691146,0.75087464,0.751182,0.8782948,0.8772353,0.7426177,0.5725206,0.74209774,0.5705408,0.7431385,0.57451427
EaISOUPTree,47,0.6155965,0.7145206,0.24505638,0.1275832,0.7487153,0.7491149,0.87804395,0.8764792,0.74163276,0.5722403,0.7410421,0.5700774,0.7422243,0.57441956
EaISOUPTree,48,0.6134774,0.7123502,0.2441954,0.1281622,0.7466454,0.7471831,0.8777838,0.87581927,0.7406294,0.57299936,0.73996943,0.57075983,0.74129045,0.5752565
EaISOUPTree,49,0.6111248,0.710131,0.24293478,0.12862088,0.74474746,0.7451887,0.87752026,0.8752826,0.7396184,0.57275766,0.7388888,0.5704173,0.7403496,0.57511735
EaISOUPTree,50,0.6097461,0.7087501,0.24231364,0.12888452,0.74346477,0.74416196,0.87726176,0.8749457,0.73862207,0.57354903,0.7378204,0.57104856,0.73942554,0.5760715
