Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
CLR,31,0.2857881,0.40464115,0.004297994,7.163324E-4,0.44337407,0.3988817,0.5551772,0.54035336,0.43645027,0.33766174,0.47104526,0.30626884,0.40658915,0.37622523
CLR,32,0.28505623,0.40403515,0.004163775,6.939625E-4,0.44207752,0.3983234,0.55598557,0.54146427,0.43588704,0.33743608,0.46971753,0.3052216,0.4066023,0.37725306
CLR,33,0.28435218,0.40331173,0.004037685,6.729475E-4,0.44043323,0.39783096,0.5567506,0.5427321,0.43532202,0.3373249,0.4684235,0.3047167,0.40659007,0.37774825
CLR,34,0.28107664,0.3989463,0.0039190073,6.5316784E-4,0.43543473,0.39347038,0.55736905,0.54218376,0.43459362,0.33560658,0.46698895,0.30273482,0.4064013,0.37648645
CLR,35,0.27900034,0.39662534,0.0038071065,6.3451775E-4,0.4325512,0.39113694,0.5579028,0.54235405,0.43379897,0.33443102,0.4655214,0.30103302,0.40612411,0.37616453
CLR,36,0.27813113,0.3957436,0.0037014189,6.169031E-4,0.4312159,0.39044735,0.55842507,0.5435945,0.43302065,0.3338953,0.46408632,0.29970515,0.4058531,0.3768907
CLR,37,0.2815651,0.39907104,0.0048019206,6.002401E-4,0.43349394,0.3949871,0.5590978,0.5494415,0.43246445,0.33601934,0.4628939,0.30177018,0.40578887,0.37903798
CLR,38,0.28541192,0.4031443,0.0058445353,5.844535E-4,0.4364314,0.40022317,0.5599111,0.5554543,0.432132,0.33755776,0.46194306,0.30396387,0.40593538,0.37949982
CLR,39,0.28993282,0.40817475,0.007403189,5.694761E-4,0.4402054,0.4069834,0.560886,0.56183535,0.4320551,0.3395428,0.4612494,0.30599535,0.4063364,0.38135192
CLR,40,0.29245496,0.4108941,0.007773459,5.5524707E-4,0.4425416,0.41063085,0.5619521,0.5669151,0.43209648,0.33895636,0.46070337,0.30623963,0.40683454,0.37949976
CLR,41,0.29538232,0.4140822,0.008667389,5.417118E-4,0.4445471,0.4157888,0.5631199,0.5721622,0.43226215,0.33962628,0.46027273,0.30681407,0.40746528,0.38029715
CLR,42,0.2980734,0.41719916,0.0089899525,5.2882073E-4,0.44650126,0.42123896,0.56436247,0.57687503,0.43253985,0.33993372,0.45995012,0.30769366,0.4082128,0.37972078
CLR,43,0.2957707,0.41443744,0.008780992,5.165289E-4,0.44467273,0.41757315,0.5653323,0.5730626,0.4326402,0.33860752,0.45954832,0.3066062,0.40870887,0.37806737
CLR,44,0.29811215,0.41674238,0.010095911,5.047956E-4,0.44598004,0.42113182,0.5663549,0.5766653,0.43282124,0.34025776,0.4592332,0.3082738,0.40928215,0.3796468
CLR,45,0.3012814,0.41996437,0.011352419,4.9358344E-4,0.4476265,0.42610833,0.56745046,0.58090144,0.4331177,0.34200463,0.4590181,0.30977988,0.40998402,0.38171217
CLR,46,0.30303267,0.42202735,0.012071463,4.8285854E-4,0.4481529,0.4308927,0.5685939,0.58460724,0.43347523,0.34245852,0.45883098,0.30976132,0.41077513,0.38287306
CLR,47,0.30605856,0.4251105,0.013705104,4.725898E-4,0.44954684,0.4367833,0.5698106,0.5888865,0.4339261,0.34320477,0.45871395,0.31018433,0.4116799,0.38409314
CLR,48,0.30785117,0.42692444,0.013882462,4.6274872E-4,0.4508387,0.43977445,0.5710503,0.59205073,0.43442923,0.3435864,0.45865783,0.31065175,0.41263193,0.38433245
CLR,49,0.3106376,0.4297377,0.015412511,4.5330916E-4,0.4529295,0.4436494,0.57233393,0.595684,0.43500012,0.34465596,0.4586769,0.31174996,0.41364768,0.38532832
CLR,50,0.3110206,0.4300294,0.015829941,4.5228403E-4,0.45313394,0.444003,0.57353467,0.5961388,0.43554103,0.344854,0.45870233,0.31196502,0.41460627,0.38549486
