Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
EaISOUPTree,30,0.93094885,0.9474752,0.88644964,0.03951555,0.9547944,0.96505165,0.95531744,0.96492904,0.89912844,0.89960706,0.86496884,0.86642385,0.936097,0.9354333
EaISOUPTree,31,0.93317467,0.9491683,0.8901099,0.03824179,0.9562516,0.9661782,0.95579207,0.966188,0.89984906,0.90097785,0.8658005,0.8687995,0.9366852,0.93563145
EaISOUPTree,32,0.9273363,0.9451956,0.8786373,0.039768204,0.9533594,0.9626212,0.9561124,0.9643421,0.9002531,0.892275,0.866396,0.8617494,0.93686396,0.92504245
EaISOUPTree,33,0.92557937,0.94414794,0.8747419,0.04005511,0.9528792,0.9616884,0.956383,0.96403384,0.90055794,0.88781875,0.86691695,0.85753495,0.9369153,0.9203198
EaISOUPTree,34,0.92693174,0.94516605,0.87708753,0.039323144,0.9537632,0.9624805,0.95667785,0.9647282,0.9009166,0.886654,0.8674869,0.8560197,0.937026,0.9195624
EaISOUPTree,35,0.926152,0.9447199,0.8754056,0.03939006,0.95362324,0.96192944,0.95694214,0.96461314,0.9012171,0.88310707,0.86801463,0.8525951,0.9370606,0.91588396
EaISOUPTree,36,0.9176869,0.93805254,0.86309147,0.04365935,0.9450264,0.9604626,0.9569147,0.958364,0.9009212,0.8737376,0.8675151,0.8354047,0.93700314,0.9157575
EaISOUPTree,37,0.918222,0.93853885,0.86372006,0.043196272,0.94543695,0.96091664,0.9569176,0.95878977,0.9006909,0.8810872,0.8671092,0.84346414,0.9369786,0.9222235
EaISOUPTree,38,0.9160393,0.93720615,0.8589361,0.043654133,0.9446305,0.9598525,0.9568928,0.9582944,0.9004064,0.88344115,0.866693,0.8466751,0.9368487,0.9235452
EaISOUPTree,39,0.91280353,0.93516517,0.85206753,0.044476792,0.94328296,0.9582605,0.95682216,0.95743436,0.900035,0.8837444,0.8662331,0.84771085,0.9365822,0.9229774
EaISOUPTree,40,0.91200095,0.9347406,0.8500852,0.04450121,0.9431385,0.9578837,0.9567554,0.95737296,0.89967495,0.8845081,0.8658136,0.84887767,0.93629277,0.9232606
EaISOUPTree,41,0.9112375,0.9341522,0.84875345,0.044524442,0.942724,0.95724833,0.9566923,0.95731354,0.89932346,0.88821316,0.8654273,0.85274726,0.9359831,0.92675716
EaISOUPTree,42,0.9122681,0.9348177,0.8507301,0.043825462,0.9435461,0.957184,0.956671,0.95808095,0.89906335,0.8926596,0.86518574,0.8579204,0.93570226,0.9303308
EaISOUPTree,43,0.91285455,0.9353114,0.8515584,0.043423105,0.944198,0.9573868,0.9566721,0.95844144,0.8988567,0.89550066,0.8650197,0.86092806,0.93544865,0.9329662
EaISOUPTree,44,0.9127691,0.9352319,0.85131645,0.043125067,0.94443303,0.956806,0.9566881,0.9587891,0.89868355,0.8973327,0.8649314,0.863404,0.9351769,0.93403715
EaISOUPTree,45,0.91228354,0.93481946,0.8505805,0.043260936,0.943749,0.9567558,0.95669615,0.9585245,0.89849824,0.8978831,0.86479974,0.86345476,0.93492955,0.93517107
EaISOUPTree,46,0.91354746,0.9357419,0.8528395,0.042732466,0.94457614,0.95744854,0.9567291,0.9590159,0.8983702,0.89960253,0.86472404,0.8654831,0.93474066,0.9365225
EaISOUPTree,47,0.9147576,0.9366251,0.8550024,0.04222647,0.9453681,0.95811176,0.9567838,0.95948625,0.8982944,0.9007326,0.86469996,0.8667579,0.93460476,0.9374793
EaISOUPTree,48,0.9159174,0.9374715,0.8570753,0.04174155,0.9461271,0.9587474,0.9568572,0.9599368,0.8982632,0.90134865,0.8647193,0.8673888,0.93451464,0.93807596
EaISOUPTree,49,0.91702986,0.9382834,0.8590635,0.041276414,0.9468552,0.9593571,0.9569469,0.96036905,0.8982714,0.9016592,0.8647767,0.86762834,0.93446517,0.9384687
EaISOUPTree,50,0.91700524,0.93823206,0.8591874,0.041412693,0.94670653,0.95952594,0.9570238,0.96017456,0.8982648,0.90114397,0.8647954,0.86655504,0.9344292,0.9386089
